unit_id;unit_name;route_id;route_desc;weekday_peak_headway;weekday_offpeak_headway;weekday_night_headway;saturday_day_headway;saturday_night_headway;sunday_day_headway;sunday_night_headway
63;Papatoetoe / Otara;634;Pine Harbour Ferry Feeder. Maraetai to Pine Harbour Ferry Terminal;30;60;60;60;60;60;60
63;Papatoetoe / Otara;635;Manukau to Botany Town Centre via Preston Rd;30;60;60;60;60;60;60
64;Manurewa;640;Otahuhu Station to Weymouth via Great South Rd, Manukau and Manurewa;15;30;60;30;30;30;60
64;Manurewa;641;Otahuhu Station to Papakura via Great South Rd, Manukau and Manurewa;15;30;60;30;60;30;60
64;Manurewa;642;Manurewa to Otara MIT via Clendon and Manukau;15;30;60;30;60;30;60
64;Manurewa;643;Wattle Downs to Manurewa;15;30;60;30;60;30;60
64;Manurewa;644;Manurewa to Manukau via Tahned GTahred Genarsd ceirncsu citi rcuit;15;30;60;30;60;30;60
64;Manurewa;645;Manukau to Papakura via Manurewa, Takanini Station and Porchester Rd;15;30;60;30;60;30;60
64;Manurewa;646;Wiri Industrial. Homai Station to Manukau Station via Plunket Ave;15;;;;;;
65;Papakura;650;Papakura to Takanini Station via Cosgrove;30;30;60;60;60;60;60
65;Papakura;651;Papakura to Papakura via Sheehan Avenue;15;30;30;30;60;30;60
65;Papakura;652;Papakura to Red Hills;30;30;60;30;60;30;60
65;Papakura;653;Papakura Station to Drury;30;30;60;30;60;30;60
65;Papakura;654;Papakura to Pahurehure;15;30;30;30;60;30;60
65;Papakura;655;Papakura to Karaka Harbourside;30;30;60;30;60;30;60
67;Pukekohe;670;Pukekohe Northeast loop;30;60;60;60;60;60;60
67;Pukekohe;671;Pukekohe Northwest loop;30;60;60;60;60;60;60
67;Pukekohe;672;Pukekohe South loop;30;60;60;60;60;60;60
67;Pukekohe;673;Waiuku to Papakura or Pukekohe (allocation may change to Unit 65 post local;60;60;120;120;120;120;120
67;Pukekohe;674;Tuakau to Wesley College (subject to funding arrangements);30;60;120;120;120;120;120
F;Ferry;F0;Pine Harbour Ferry. Pine Harbour Ferry Terminal to Downtown Ferry Terminal;30;60;60;60;60;60;60
F;Ferry;F1;Bayswater Ferry. Bayswater Ferry Terminal to Downtown Ferry Terminal;30;60;60;60;60;60;60
F;Ferry;F2;Birkenhead Ferry. Birkenhead Ferry Terminal to Downtown Ferry Terminal via Northcote;30;60;60;60;60;60;60
F;Ferry;F3;Gulf Harbour Ferry. Gulf Harbour Ferry Terminal to Downtown Ferry Terminal;30;;;;;;
F;Ferry;F4;West Harbour Ferry. West Harbour Ferry Terminal to Downtown Ferry Terminal;20;60;;;;;
F;Ferry;F5;Rakino Ferry. Rakino Ferry Terminal to Downtown Ferry Terminal;;;;;;;
F;Ferry;F6;Half Moon Bay Ferry. Half Moon Bay Ferry Terminal to Downtown Ferry Terminal;30;60;60;60;60;60;60
F;Ferry;F7;Hobsonville / Beach Haven Ferry. Hobsonville Point and Beach Haven Wharf to Downtown;30;60;60;60;60;60;60
R;Rail;R0;Southern Rail Line. Papakura and Manukau to Britomart via Newmarket Station;10;10;15;10;15;15;30
R;Rail;R1;Eastern Rail Line. Papakura and Manukau to Britomart via Glen Innes;10;10;15;10;15;15;30
R;Rail;R2;Western Rail Line. Swanson to Britomart via Newmarket;10;10;15;15;15;15;30
R;Rail;R3;Onehunga Rail Line. Onehunga Station to Britomart via Penrose Station;30;30;60;20;60;20;60
R;Rail;R4;Pukekohe Rail Line. Pukekohe Station to Papakura Station;15;30;60;30;60;30;60
X;PTOM Exempt;X0;AIRBUS EXPRESS. Airport to Ferry Terminal Downtown via Mt Eden or Dominion Rd;10;10;20;15;20;15;20
X;PTOM Exempt;X1;Devonport Ferry. Devonport Ferry Terminal to Downtown Ferry Terminal;15;30;30;30;30;30;30 
X;PTOM Exempt;X2;Stanley Bay Ferry. Stanley Bay Ferry Terminal to Downtown Ferry Terminal;30;;;;;;
X;PTOM Exempt;X3;Waiheke Ferry. Matiatia Ferry Terminal to Downtown Ferry Terminal;30;60;90;60;60;60;60 
