stop_code,stop_lat,zone_id,stop_lon,stop_id,parent_station,stop_desc,stop_name,location_type
31099,-36.86222,merged_28,174.86863,stop_1530,,,/Glendowie College Bus Bay,1
31100,-36.864090000000004,merged_28,174.86697,stop_1531,,,Mt Taylor Drive/Glendowie Community Centre,1
31102,-36.86542,merged_28,174.86177,stop_1532,,,Mt Taylor Drive/Sierra St,1
31103,-36.86645,merged_29,174.85949,stop_1533,,,Mt Taylor Drive/Ashby Ave,1
31104,-36.86484,merged_28,174.85796000000002,stop_1534,,,Ashby Ave/Odessa Crescent,1
31105,-36.86672,merged_29,174.8692,stop_1535,,,Crossfield Rd/Washington Ave,1
31106,-36.868,merged_29,174.86963,stop_1536,,,Crossfield Rd/Aragon Ave,1
31107,-36.86898,merged_28,174.84923999999998,stop_1537,,,Apirana Ave/Lintaine Place,1
31108,-36.870670000000004,merged_29,174.85074,stop_1538,,,Apirana Ave/Castledine Crescent,1
31111,-36.8677,merged_28,174.8557,stop_1539,,,West Tamaki Rd/Emerson St,1
31112,-36.86959,merged_29,174.85838999999999,stop_1540,,,West Tamaki Rd/Line Rd,1
31113,-36.87003,merged_28,174.86184,stop_1541,,,West Tamaki Rd/Navarre Rd,1
31114,-36.87007,merged_28,174.86575,stop_1542,,,West Tamaki Rd/Elstree Ave Shops,1
31115,-36.8689,merged_28,174.87123,stop_1543,,,West Tamaki Rd/Sacred Heart College,1
31121,-36.87158,merged_28,174.87509,stop_1544,,,Taniwha St/Silverton Ave,1
31122,-36.874159999999996,merged_29,174.87391000000002,stop_1545,,,Taniwha St/Mansfield St,1
31123,-36.87592,merged_28,174.87265,stop_1546,,,Taniwha St/Kiano Place,1
31124,-36.876979999999996,merged_28,174.87058000000002,stop_1547,,,Taniwha St/Fenchurch St Shops,1
31125,-36.878609999999995,merged_29,174.86636000000001,stop_1548,,,Taniwha St/Tamaki College,1
31126,-36.87858,merged_28,174.86182,stop_1549,,,Taniwha St/Tosca Lane,1
31127,-36.87842,merged_28,174.85976000000002,stop_1550,,,Taniwha St/Heatherbank St,1
31128,-36.877520000000004,merged_28,174.85695,stop_1551,,,Taniwha St/Line Rd,1
31129,-36.870670000000004,merged_28,174.86538000000002,stop_1552,,,Elstree Ave and Overlea,1
31130,-36.873290000000004,merged_28,174.86698,stop_1553,,,Elstree Ave and Linthorpe,1
31131,-36.87512,merged_28,174.8672,stop_1554,,,Elstree Ave and Chiltern,1
31132,-36.87758,merged_28,174.86653,stop_1555,,,Elstree Ave and Taniwha,1
31133,-36.87131,merged_28,174.85858000000002,stop_1556,,,Line Rd/Paddington Reserve,1
31339,-36.878640000000004,merged_29,174.85443,stop_1557,,,/Glen Innes,1
31342,-36.88019,merged_28,174.8504,stop_1558,,,Merton Rd/Countdown,1
31343,-36.87963,merged_29,174.8486,stop_1559,,,Howard Hunter Ave/Colin Maiden Park,1
31344,-36.882459999999995,merged_29,174.85025,stop_1560,,,Morrin Rd/Colin Maiden Park,1
31345,-36.87677,merged_28,174.84825,stop_1561,,,Howard Hunter Ave/Strong St,1
31347,-36.87552,merged_28,174.84581,stop_1562,,,Strong St/Cotton St,1
31348,-36.87563,merged_28,174.84353000000002,stop_1563,,,Strong St/Simkin Ave,1
31349,-36.87704,merged_28,174.84208,stop_1564,,,College Rd/Thorp St,1
31350,-36.88293,merged_28,174.84085,stop_1565,,,College Rd/Auckland Netball Centre,1
31352,-36.87149,merged_28,174.84476999999998,stop_1566,,,St Johns Rd/Felton Matthew Ave,1
31353,-36.87107,merged_28,174.84269,stop_1567,,,Gowing Drive/St Johns Rd,1
31354,-36.87016,merged_29,174.84128,stop_1568,,,Gowing Drive/Worchester Rd,1
31355,-36.86868,merged_28,174.8387,stop_1569,,,/105 and 148 Gowing Drive,1
31356,-36.867020000000004,merged_29,174.83469,stop_1570,,,Gowing Drive/Houghton St,1
31357,-36.8674,merged_28,174.83274,stop_1571,,,Gowing Drive/Tipene Place,1
31358,-36.87028,merged_28,174.8324,stop_1572,,,Gowing Drive/Parsons Rd,1
31359,-36.86973,merged_28,174.83029,stop_1573,,,Fancourt St/Meyrick Place,1
31360,-36.86934,merged_28,174.8275,stop_1574,,,Fancourt St/Temple St,1
31361,-36.86919,merged_29,174.82343,stop_1575,,,Meadowbank Rd/Tahapa Crescent,1
31362,-36.86949,merged_29,174.82255,stop_1576,,,Bonnie Brae Rd/Meadowbank Rd,1
31363,-36.8714,merged_28,174.82256,stop_1577,,,Bonnie Brae Rd/Bonnie Brae Reserve,1
31364,-36.87359,merged_28,174.82361,stop_1578,,,Meadowbank Rd/Mt Carmel School,1
31365,-36.87473,merged_28,174.82468,stop_1579,,,Meadowbank Rd/Mt Carmel Place,1
31366,-36.87695,merged_29,174.82511,stop_1580,,,Remuera Rd/Meadowbank Rd,1
31367,-36.875440000000005,merged_28,174.8277,stop_1581,,,St Johns Rd/Meadowbank Shopping Centre,1
31368,-36.87378,merged_29,174.82877,stop_1582,,,St Johns Rd/Blackett Crescent,1
31369,-36.87299,merged_28,174.83143,stop_1583,,,St Johns Rd/Purewa Cemetery,1
31370,-36.87296,merged_29,174.83383,stop_1584,,,St Johns Rd/Dorchester St,1
31371,-36.87314,merged_28,174.83566000000002,stop_1585,,,St Johns Rd/Truman St,1
31372,-36.87381,merged_29,174.83916000000002,stop_1586,,,St Johns Rd/St Johns College,1
31373,-36.87446,merged_28,174.8415,stop_1587,,,St Johns Rd/St Johns College,1
31374,-36.882740000000005,merged_28,174.83591,stop_1588,,,Panapa Drive/Norman Lesser Drive,1
31375,-36.881809999999994,merged_29,174.83406000000002,stop_1589,,,Panapa Drive/Coldham Crescent,1
31376,-36.87912,merged_29,174.83516,stop_1590,,,Panapa Drive/Hoani Glade,1
31377,-36.876870000000004,merged_28,174.83831,stop_1591,,,Panapa Drive/Maaka Place,1
31378,-36.87607,merged_28,174.83976,stop_1592,,,Norman Lesser Drive/Kissling Place,1
31379,-36.874520000000004,merged_29,174.8376,stop_1593,,,Norman Lesser Drive/Greenbank Drive,1
31380,-36.87442,merged_28,174.8343,stop_1594,,,Norman Lesser Drive/Pyatt Crescent,1
31381,-36.87662,merged_28,174.83149,stop_1595,,,Norman Lesser Drive/Gerard Way,1
31382,-36.87773,merged_28,174.82878,stop_1596,,,Grand Drive/Gerard Way,1
31383,-36.878859999999996,merged_29,174.82711,stop_1597,,,Grand Drive/McFarland St,1
31384,-36.88066,merged_28,174.8253,stop_1598,,,Grand Drive/Towle Place,1
31385,-36.882329999999996,merged_28,174.82303000000002,stop_1599,,,Grand Drive/Monteith Crescent,1
